Strain,Diet,Number,Designation ,Body Weight (g),Skin Wet weight (g),Skin Dry Weight (g),Skin relative water,Skin Ash weight (g),Cl- (mg/kg),K+ (mg/kg),Na+ (mg/kg),Total  Cl- in skin (mg),Total K+ in skin (mg),Total Na+ in skin (mg),Total  Cl- in skin (mmol),Total K+ in skin (mmol),Total Na+ in skin (mmol),rSkin Cl- (mmol /g DW),rSkin K+ (mmol /g DW),rSkin Na+ (mmol /g DW),Skin Na+/Skin W,Skin K+/Skin W,Skin (Na + K)/Skin W,%W,rskin Na+/rW,rskin K+/rW,rskin Na+K/rW,rskin (Na+K)
HXB18,Voda,4,HXB18-W-Skin-4,367.500,64.018,24.279,0.621,0.703,144000.000,145000.000,109000.000,101.187,101.889,76.593,2.854,2.606,3.332,0.118,0.107,0.137,0.08383536486,0.06557617508,0.1494115399,62.07555042,0.2210588836,0.1729126614,0.393971545,0.245
HXB18,Voda,5,HXB18-W-Skin-5,346.100,62.279,23.835,0.617,0.583,160000.000,180000.000,128000.000,93.327,104.992,74.661,2.632,2.685,3.248,0.110,0.113,0.136,0.08447401107,0.06984944669,0.1543234578,61.72943508,0.2207284143,0.1825148044,0.4032432186,0.249
HXB18,Voda,6,HXB18-W-Skin-6,340.800,61.317,23.699,0.614,0.666,103000.000,150000.000,99200.000,68.594,99.894,66.063,1.935,2.555,2.874,0.082,0.108,0.121,0.07638776886,0.06791734976,0.1443051186,61.35067923,0.1976432375,0.1757271497,0.3733703872,0.229
HXB20,Sůl,1,HXB20-S-Skin-1,310.500,52.552,23.045,0.561,0.528,110000.000,152000.000,99800.000,58.072,80.245,52.687,1.638,2.052,2.292,0.071,0.089,0.099,0.07766812825,0.06955577665,0.1472239049,56.14838697,0.1771157841,0.1586162329,0.335732017,0.189
HXB20,Sůl,2,HXB20-S-Skin-2,310.200,52.517,22.216,0.577,0.652,87700.000,113000.000,77100.000,57.170,73.663,50.260,1.613,1.884,2.186,0.073,0.085,0.098,0.07214748275,0.06217596966,0.1343234524,57.69864303,0.1705559536,0.1469833928,0.3175393463,0.183
HXB20,Sůl,3,HXB20-S-Skin-3,313.200,56.865,24.147,0.575,0.638,113000.000,140000.000,94200.000,72.112,89.343,60.115,2.034,2.285,2.615,0.084,0.095,0.108,0.07991935612,0.06984035331,0.1497597094,57.53696391,0.1882092367,0.1644732919,0.3526825287,0.203
HXB20,Voda,4,HXB20-W-Skin-4,307.300,53.023,21.545,0.594,0.539,89200.000,155000.000,110000.000,48.115,83.608,59.335,1.357,2.138,2.581,0.063,0.099,0.120,0.08199087101,0.06793316231,0.1499240333,59.36632433,0.2017805913,0.1671843888,0.36896498,0.219
HXB20,Voda,5,HXB20-W-Skin-5,309.700,55.072,23.219,0.578,0.808,85100.000,107000.000,72800.000,68.774,86.472,58.833,1.940,2.212,2.559,0.084,0.095,0.110,0.08034037995,0.06943262716,0.1497730071,57.83949923,0.1905584101,0.1646864385,0.3552448486,0.205
HXB20,Voda,6,HXB20-W-Skin-6,320.800,59.625,25.881,0.566,0.561,143000.000,169000.000,122000.000,80.245,94.835,68.461,2.263,2.426,2.978,0.087,0.094,0.115,0.08824837429,0.07188046965,0.1601288439,56.59398431,0.2033090872,0.1656002481,0.3689093353,0.209
BXH8,Sůl,1,BXH8-S-Skin-1,265.900,46.477,19.397,0.583,0.458,269000.000,326000.000,234000.000,123.164,149.261,107.139,3.474,3.818,4.660,0.179,0.197,0.240,0.1720885433,0.1409714022,0.3130599455,58.26645627,0.4123506607,0.3377891969,0.7501398576,0.437
